accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1967873,Lepidoptera,Geometridae,Abraxas,Abraxas grossulariata,Abraxas grossulariata,98,ACCEPTED,EXACT,SPECIES,london31May2023
1967803,Lepidoptera,Geometridae,Abraxas,Abraxas pantaria,Abraxas pantaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1967815,Lepidoptera,Geometridae,Abraxas,Abraxas sylvata,Abraxas sylvata,98,ACCEPTED,EXACT,SPECIES,london31May2023
7681733,Lepidoptera,Geometridae,Acasis,Acasis viretata,Acasis viretata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1973327,Lepidoptera,Geometridae,Adactylotis,Adactylotis contaminaria,Adactylotis contaminaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1990150,Lepidoptera,Geometridae,Aethalura,Aethalura punctulata,Aethalura punctulata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5769072,Lepidoptera,Geometridae,Agriopis,Agriopis aurantiaria,Agriopis aurantiaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
5769062,Lepidoptera,Geometridae,Agriopis,Agriopis leucophaearia,Agriopis leucophaearia,99,ACCEPTED,EXACT,SPECIES,london31May2023
5769068,Lepidoptera,Geometridae,Agriopis,Agriopis marginaria,Agriopis marginaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143477,Lepidoptera,Geometridae,Alcis,Alcis jubata,Alcis jubata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143380,Lepidoptera,Geometridae,Alcis,Alcis repandata,Alcis repandata,99,ACCEPTED,EXACT,SPECIES,london31May2023
4524403,Lepidoptera,Geometridae,Aleucis,Aleucis distinctata,Aleucis distinctata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143947,Lepidoptera,Geometridae,Alsophila,Alsophila aescularia,Alsophila aescularia,99,ACCEPTED,EXACT,SPECIES,london31May2023
1965913,Lepidoptera,Geometridae,Angerona,Angerona prunaria,Angerona prunaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1975793,Lepidoptera,Geometridae,Anticlea,Anticlea derivata,Anticlea derivata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1975571,Lepidoptera,Geometridae,Anticollix,Anticollix sparsata,Anticollix sparsata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1962860,Lepidoptera,Geometridae,Apeira,Apeira syringaria,Apeira syringaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
5149474,Lepidoptera,Geometridae,Aplasta,Aplasta ononaria,Aplasta ononaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1984954,Lepidoptera,Geometridae,Aplocera,Aplocera efformata,Aplocera efformata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1984942,Lepidoptera,Geometridae,Aplocera,Aplocera plagiata,Aplocera plagiata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1984949,Lepidoptera,Geometridae,Aplocera,Aplocera praeformata,Aplocera praeformata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1961068,Lepidoptera,Geometridae,Apocheima,Apocheima hispidaria,Apocheima hispidaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
8329661,Lepidoptera,Geometridae,Archiearis,Archiearis notha,Archiearis notha,99,ACCEPTED,EXACT,SPECIES,london31May2023
1975733,Lepidoptera,Geometridae,Archiearis,Archiearis parthenias,Archiearis parthenias,99,ACCEPTED,EXACT,SPECIES,london31May2023
1967273,Lepidoptera,Geometridae,Aspitates,Aspitates gilvaria,Aspitates gilvaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1967265,Lepidoptera,Geometridae,Aspitates,Aspitates ochrearia,Aspitates ochrearia,99,ACCEPTED,EXACT,SPECIES,london31May2023
1987744,Lepidoptera,Geometridae,Asthena,Asthena albulata,Asthena albulata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1975897,Lepidoptera,Geometridae,Biston,Biston betularia,Biston betularia,99,ACCEPTED,EXACT,SPECIES,london31May2023
1975903,Lepidoptera,Geometridae,Biston,Biston strataria,Biston strataria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1973414,Lepidoptera,Geometridae,Bupalus,Bupalus piniaria,Bupalus piniaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143675,Lepidoptera,Geometridae,Cabera,Cabera exanthemata,Cabera exanthemata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143697,Lepidoptera,Geometridae,Cabera,Cabera pusaria,Cabera pusaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1978776,Lepidoptera,Geometridae,Campaea,Campaea margaritaria,Campaea margaritaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
4524376,Lepidoptera,Geometridae,Camptogramma,Camptogramma bilineata,Camptogramma bilineata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1978977,Lepidoptera,Geometridae,Carsia,Carsia sororiata,Carsia sororiata,98,ACCEPTED,EXACT,SPECIES,london31May2023
1964195,Lepidoptera,Geometridae,Catarhoe,Catarhoe cuculata,Catarhoe cuculata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1964191,Lepidoptera,Geometridae,Catarhoe,Catarhoe rubidata,Catarhoe rubidata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1967245,Lepidoptera,Geometridae,Cepphis,Cepphis advenaria,Cepphis advenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
4524951,Lepidoptera,Geometridae,Charissa,Charissa obscurata,Charissa obscurata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1962990,Lepidoptera,Geometridae,Chesias,Chesias legatella,Chesias legatella,99,ACCEPTED,EXACT,SPECIES,london31May2023
1962972,Lepidoptera,Geometridae,Chesias,Chesias rufata,Chesias rufata,99,ACCEPTED,EXACT,SPECIES,london31May2023
9220953,Lepidoptera,Geometridae,Chiasmia,Chiasmia aestimaria,Chiasmia aestimaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
4525078,Lepidoptera,Geometridae,Chiasmia,Chiasmia clathrata,Chiasmia clathrata,98,ACCEPTED,EXACT,SPECIES,london31May2023
1961037,Lepidoptera,Geometridae,Chlorissa,Chlorissa cloraria,Chlorissa cloraria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1961040,Lepidoptera,Geometridae,Chlorissa,Chlorissa viridata,Chlorissa viridata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5806132,Lepidoptera,Geometridae,Chlorochlamys,Chlorochlamys chloroleucaria,Chlorochlamys chloroleucaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1963463,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta miata,Chloroclysta miata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1963446,Lepidoptera,Geometridae,Chloroclysta,Chloroclysta siterata,Chloroclysta siterata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1989428,Lepidoptera,Geometridae,Chloroclystis,Chloroclystis v-ata,Chloroclystis v-ata,99,ACCEPTED,EXACT,SPECIES,london31May2023
5768880,Lepidoptera,Geometridae,Cidaria,Cidaria fulvata,Cidaria fulvata,98,ACCEPTED,EXACT,SPECIES,london31May2023
5769028,Lepidoptera,Geometridae,Cleora,Cleora cinctaria,Cleora cinctaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1985522,Lepidoptera,Geometridae,Cleorodes,Cleorodes lichenaria,Cleorodes lichenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1988504,Lepidoptera,Geometridae,Coenocalpe,Coenocalpe lapidata,Coenocalpe lapidata,99,ACCEPTED,EXACT,SPECIES,london31May2023
