accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
-1,Lepidoptera,Noctuidae,Agrotis,Agrotis spinifera,NotAvail,98,ACCEPTED,HIGHERRANK,GENUS,london31May2023
1789086,Lepidoptera,Noctuidae,Hecatera,Hecatera bicolorata,Hecatera bicolorata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789076,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea,Hecatera dysodea,99,ACCEPTED,EXACT,SPECIES,london31May2023
8108800,Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa armigera,Helicoverpa armigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534676,Lepidoptera,Noctuidae,Heliothis,Heliothis maritima,Heliothis maritima,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534675,Lepidoptera,Noctuidae,Heliothis,Heliothis nubigera,Heliothis nubigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534681,Lepidoptera,Noctuidae,Heliothis,Heliothis peltigera,Heliothis peltigera,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534686,Lepidoptera,Noctuidae,Heliothis,Heliothis viriplaca,Heliothis viriplaca,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534389,Lepidoptera,Noctuidae,Helotropha,Helotropha leucostigma,Helotropha leucostigma,99,ACCEPTED,EXACT,SPECIES,london31May2023
1784853,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina ambigua,Hoplodrina ambigua,98,ACCEPTED,EXACT,SPECIES,london31May2023
1784826,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina blanda,Hoplodrina blanda,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534290,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina octogenaria,Hoplodrina octogenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1784824,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina superstes,Hoplodrina superstes,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796678,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea,Hydraecia micacea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796643,Lepidoptera,Noctuidae,Hydraecia,Hydraecia osseola,Hydraecia osseola,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796666,Lepidoptera,Noctuidae,Hydraecia,Hydraecia petasitis,Hydraecia petasitis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1798372,Lepidoptera,Noctuidae,Hyppa,Hyppa rectilinea,Hyppa rectilinea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782615,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha retusa,Ipimorpha retusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782627,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha subtusa,Ipimorpha subtusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1792645,Lepidoptera,Noctuidae,Jodia,Jodia croceago,Jodia croceago,99,ACCEPTED,EXACT,SPECIES,london31May2023
