,accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
0,-1,Lepidoptera,Noctuidae,Agrotis,Agrotis spinifera,NotAvail,98,ACCEPTED,HIGHERRANK,GENUS,london31May2023
1,1789086,Lepidoptera,Noctuidae,Hecatera,Hecatera bicolorata,Hecatera bicolorata,99,ACCEPTED,EXACT,SPECIES,london31May2023
2,1789076,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea,Hecatera dysodea,99,ACCEPTED,EXACT,SPECIES,london31May2023
3,8108800,Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa armigera,Helicoverpa armigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4,4534676,Lepidoptera,Noctuidae,Heliothis,Heliothis maritima,Heliothis maritima,99,ACCEPTED,EXACT,SPECIES,london31May2023
5,4534675,Lepidoptera,Noctuidae,Heliothis,Heliothis nubigera,Heliothis nubigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
6,4534681,Lepidoptera,Noctuidae,Heliothis,Heliothis peltigera,Heliothis peltigera,98,ACCEPTED,EXACT,SPECIES,london31May2023
7,4534686,Lepidoptera,Noctuidae,Heliothis,Heliothis viriplaca,Heliothis viriplaca,99,ACCEPTED,EXACT,SPECIES,london31May2023
8,4534389,Lepidoptera,Noctuidae,Helotropha,Helotropha leucostigma,Helotropha leucostigma,99,ACCEPTED,EXACT,SPECIES,london31May2023
9,1784853,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina ambigua,Hoplodrina ambigua,98,ACCEPTED,EXACT,SPECIES,london31May2023
10,1784826,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina blanda,Hoplodrina blanda,98,ACCEPTED,EXACT,SPECIES,london31May2023
11,4534290,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina octogenaria,Hoplodrina octogenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
12,1784824,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina superstes,Hoplodrina superstes,99,ACCEPTED,EXACT,SPECIES,london31May2023
13,1796678,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea,Hydraecia micacea,99,ACCEPTED,EXACT,SPECIES,london31May2023
14,1796643,Lepidoptera,Noctuidae,Hydraecia,Hydraecia osseola,Hydraecia osseola,99,ACCEPTED,EXACT,SPECIES,london31May2023
15,1796666,Lepidoptera,Noctuidae,Hydraecia,Hydraecia petasitis,Hydraecia petasitis,99,ACCEPTED,EXACT,SPECIES,london31May2023
16,1798372,Lepidoptera,Noctuidae,Hyppa,Hyppa rectilinea,Hyppa rectilinea,99,ACCEPTED,EXACT,SPECIES,london31May2023
17,1782615,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha retusa,Ipimorpha retusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
18,1782627,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha subtusa,Ipimorpha subtusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
19,1792645,Lepidoptera,Noctuidae,Jodia,Jodia croceago,Jodia croceago,99,ACCEPTED,EXACT,SPECIES,london31May2023
20,4533947,Lepidoptera,Noctuidae,Lacanobia,Lacanobia blenna,Lacanobia blenna,99,ACCEPTED,EXACT,SPECIES,london31May2023
21,1759055,Lepidoptera,Noctuidae,Lacanobia,Lacanobia contigua,Lacanobia contigua,99,ACCEPTED,EXACT,SPECIES,london31May2023
22,1759083,Lepidoptera,Noctuidae,Lacanobia,Lacanobia oleracea,Lacanobia oleracea,99,ACCEPTED,EXACT,SPECIES,london31May2023
23,7972792,Lepidoptera,Noctuidae,Lacanobia,Lacanobia splendens,Lacanobia splendens,99,ACCEPTED,EXACT,SPECIES,london31May2023
24,4533952,Lepidoptera,Noctuidae,Lacanobia,Lacanobia suasa,Lacanobia suasa,99,ACCEPTED,EXACT,SPECIES,london31May2023
25,1759069,Lepidoptera,Noctuidae,Lacanobia,Lacanobia thalassina,Lacanobia thalassina,99,ACCEPTED,EXACT,SPECIES,london31May2023
26,1759079,Lepidoptera,Noctuidae,Lacanobia,Lacanobia w-latinum,Lacanobia w-latinum,98,ACCEPTED,EXACT,SPECIES,london31May2023
27,1799900,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia laudabilis,Lacinipolia laudabilis,99,ACCEPTED,EXACT,SPECIES,london31May2023
28,1799870,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia renigera,Lacinipolia renigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
29,4534533,Lepidoptera,Noctuidae,Lateroligia,Lateroligia ophiogramma,Lateroligia ophiogramma,99,ACCEPTED,EXACT,SPECIES,london31May2023
30,4534458,Lepidoptera,Noctuidae,Lenisa,Lenisa geminipuncta,Lenisa geminipuncta,99,ACCEPTED,EXACT,SPECIES,london31May2023
31,10312073,Lepidoptera,Noctuidae,Agrochola,Leptologia lota,Leptologia lota,98,DOUBTFUL,EXACT,SPECIES,london31May2023
32,10068024,Lepidoptera,Noctuidae,Agrochola,Leptologia macilenta,Leptologia macilenta,98,DOUBTFUL,EXACT,SPECIES,london31May2023
33,5111574,Lepidoptera,Noctuidae,Leucania,Leucania comma,Leucania comma,99,ACCEPTED,EXACT,SPECIES,london31May2023
34,5772222,Lepidoptera,Noctuidae,Leucania,Leucania loreyi,Leucania loreyi,99,ACCEPTED,EXACT,SPECIES,london31May2023
35,8253467,Lepidoptera,Noctuidae,Leucania,Leucania obsoleta,Leucania obsoleta,99,ACCEPTED,EXACT,SPECIES,london31May2023
36,5111481,Lepidoptera,Noctuidae,Leucania,Leucania putrescens,Leucania putrescens,99,ACCEPTED,EXACT,SPECIES,london31May2023
37,1775329,Lepidoptera,Noctuidae,Leucochlaena,Leucochlaena oditis,Leucochlaena oditis,99,ACCEPTED,EXACT,SPECIES,london31May2023
38,1759620,Lepidoptera,Noctuidae,Lithophane,Lithophane consocia,Lithophane consocia,99,ACCEPTED,EXACT,SPECIES,london31May2023
39,1759661,Lepidoptera,Noctuidae,Lithophane,Lithophane furcifera,Lithophane furcifera,99,ACCEPTED,EXACT,SPECIES,london31May2023
40,1759686,Lepidoptera,Noctuidae,Lithophane,Lithophane lamda,Lithophane lamda,99,ACCEPTED,EXACT,SPECIES,london31May2023
41,1759673,Lepidoptera,Noctuidae,Lithophane,Lithophane leautieri,Lithophane leautieri,99,ACCEPTED,EXACT,SPECIES,london31May2023
42,1759668,Lepidoptera,Noctuidae,Lithophane,Lithophane ornitopus,Lithophane ornitopus,99,ACCEPTED,EXACT,SPECIES,london31May2023
43,1759597,Lepidoptera,Noctuidae,Lithophane,Lithophane semibrunnea,Lithophane semibrunnea,99,ACCEPTED,EXACT,SPECIES,london31May2023
44,1759667,Lepidoptera,Noctuidae,Lithophane,Lithophane socia,Lithophane socia,99,ACCEPTED,EXACT,SPECIES,london31May2023
45,4534538,Lepidoptera,Noctuidae,Litoligia,Litoligia literosa,Litoligia literosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
46,4534398,Lepidoptera,Noctuidae,Longalatedes,Longalatedes elymi,Longalatedes elymi,99,ACCEPTED,EXACT,SPECIES,london31May2023
47,1770353,Lepidoptera,Noctuidae,Luperina,Luperina dumerilii,Luperina dumerilii,99,ACCEPTED,EXACT,SPECIES,london31May2023
48,1770322,Lepidoptera,Noctuidae,Luperina,Luperina nickerlii,Luperina nickerlii,99,ACCEPTED,EXACT,SPECIES,london31May2023
49,1770307,Lepidoptera,Noctuidae,Luperina,Luperina testacea,Luperina testacea,99,ACCEPTED,EXACT,SPECIES,london31May2023
50,1794590,Lepidoptera,Noctuidae,Lycophotia,Lycophotia porphyrea,Lycophotia porphyrea,99,ACCEPTED,EXACT,SPECIES,london31May2023
51,1768117,Lepidoptera,Noctuidae,Macdunnoughia,Macdunnoughia confusa,Macdunnoughia confusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
