accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1778127,Lepidoptera,Noctuidae,Senta,Senta flammea,Senta flammea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1762383,Lepidoptera,Noctuidae,Sesamia,Sesamia nonagrioides,Sesamia nonagrioides,99,ACCEPTED,EXACT,SPECIES,london31May2023
7537451,Lepidoptera,Noctuidae,Shargacucullia,Shargacucullia caninae,Shargacucullia caninae,99,ACCEPTED,EXACT,SPECIES,london31May2023
8116389,Lepidoptera,Noctuidae,Shargacucullia,Shargacucullia prenanthis,Shargacucullia prenanthis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534057,Lepidoptera,Noctuidae,Sideridis,Sideridis reticulata,Sideridis reticulata,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534052,Lepidoptera,Noctuidae,Sideridis,Sideridis rivularis,Sideridis rivularis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534046,Lepidoptera,Noctuidae,Sideridis,Sideridis turbida,Sideridis turbida,99,ACCEPTED,EXACT,SPECIES,london31May2023
1762244,Lepidoptera,Noctuidae,Simyra,Simyra albovenosa,Simyra albovenosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1774347,Lepidoptera,Noctuidae,Spaelotis,Spaelotis ravida,Spaelotis ravida,99,ACCEPTED,EXACT,SPECIES,london31May2023
5109843,Lepidoptera,Noctuidae,Spodoptera,Spodoptera cilium,Spodoptera cilium,99,ACCEPTED,EXACT,SPECIES,london31May2023
5109850,Lepidoptera,Noctuidae,Spodoptera,Spodoptera eridania,Spodoptera eridania,99,ACCEPTED,EXACT,SPECIES,london31May2023
8352161,Lepidoptera,Noctuidae,Spodoptera,Spodoptera exigua,Spodoptera exigua,99,ACCEPTED,EXACT,SPECIES,london31May2023
5109931,Lepidoptera,Noctuidae,Spodoptera,Spodoptera littoralis,Spodoptera littoralis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5109882,Lepidoptera,Noctuidae,Spodoptera,Spodoptera litura,Spodoptera litura,99,ACCEPTED,EXACT,SPECIES,london31May2023
1778517,Lepidoptera,Noctuidae,Standfussiana,Standfussiana lucernea,Standfussiana lucernea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789481,Lepidoptera,Noctuidae,Stilbia,Stilbia anomala,Stilbia anomala,98,ACCEPTED,EXACT,SPECIES,london31May2023
1782777,Lepidoptera,Noctuidae,Acronicta,Subacronicta megacephala,Acronicta megacephala,99,SYNONYM,EXACT,SPECIES,london31May2023
10638451,Lepidoptera,Noctuidae,Sunira,Sunira circellaris,Sunira circellaris,99,ACCEPTED,EXACT,SPECIES,london31May2023
8292872,Lepidoptera,Noctuidae,Syngrapha,Syngrapha interrogationis,Syngrapha interrogationis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1766086,Lepidoptera,Noctuidae,Synthymia,Synthymia fixa,Synthymia fixa,99,ACCEPTED,EXACT,SPECIES,london31May2023
5110213,Lepidoptera,Noctuidae,Thalpophila,Thalpophila matura,Thalpophila matura,98,ACCEPTED,EXACT,SPECIES,london31May2023
1771531,Lepidoptera,Noctuidae,Tholera,Tholera cespitis,Tholera cespitis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771509,Lepidoptera,Noctuidae,Tholera,Tholera decimalis,Tholera decimalis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4532908,Lepidoptera,Noctuidae,Thysanoplusia,Thysanoplusia daubei,Thysanoplusia daubei,99,ACCEPTED,EXACT,SPECIES,london31May2023
1795068,Lepidoptera,Noctuidae,Thysanoplusia,Thysanoplusia orichalcea,Thysanoplusia orichalcea,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533136,Lepidoptera,Noctuidae,Tiliacea,Tiliacea aurago,Tiliacea aurago,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533128,Lepidoptera,Noctuidae,Tiliacea,Tiliacea citrago,Tiliacea citrago,99,ACCEPTED,EXACT,SPECIES,london31May2023
1760593,Lepidoptera,Noctuidae,Trachea,Trachea atriplicis,Trachea atriplicis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1786360,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,Trichoplusia ni,99,ACCEPTED,EXACT,SPECIES,london31May2023
1763697,Lepidoptera,Noctuidae,Trigonophora,Trigonophora flammea,Trigonophora flammea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1774285,Lepidoptera,Noctuidae,Valeria,Valeria oleagina,Valeria oleagina,99,ACCEPTED,EXACT,SPECIES,london31May2023
6116899,Lepidoptera,Noctuidae,Vittaplusia,Vittaplusia vittata,Vittaplusia vittata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1771698,Lepidoptera,Noctuidae,Xanthia,Xanthia togata,Xanthia togata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1777727,Lepidoptera,Noctuidae,Xanthopastis,Xanthopastis timais,Xanthopastis timais,99,ACCEPTED,EXACT,SPECIES,london31May2023
5112254,Lepidoptera,Noctuidae,Xestia,Xestia agathina,Xestia agathina,99,ACCEPTED,EXACT,SPECIES,london31May2023
7921916,Lepidoptera,Noctuidae,Xestia,Xestia alpicola,Xestia alpicola,99,ACCEPTED,EXACT,SPECIES,london31May2023
8043500,Lepidoptera,Noctuidae,Xestia,Xestia ashworthii,Xestia ashworthii,99,ACCEPTED,EXACT,SPECIES,london31May2023
5112291,Lepidoptera,Noctuidae,Xestia,Xestia baja,Xestia baja,99,ACCEPTED,EXACT,SPECIES,london31May2023
5714973,Lepidoptera,Noctuidae,Xestia,Xestia c-nigrum,Xestia c-nigrum,98,ACCEPTED,EXACT,SPECIES,london31May2023
5112336,Lepidoptera,Noctuidae,Xestia,Xestia castanea,Xestia castanea,99,ACCEPTED,EXACT,SPECIES,london31May2023
