accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1808450,Lepidoptera,Erebidae,Amata,Amata phegea,Amata phegea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1785105,Lepidoptera,Erebidae,Anomis,Anomis sabulifera,Anomis sabulifera,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803266,Lepidoptera,Erebidae,Antichloris,Antichloris eriphia,Antichloris eriphia,98,ACCEPTED,EXACT,SPECIES,london31May2023
1803261,Lepidoptera,Erebidae,Antichloris,Antichloris viridis,Antichloris viridis,98,ACCEPTED,EXACT,SPECIES,london31May2023
5115874,Lepidoptera,Erebidae,Arctia,Arctia caja,Arctia caja,99,ACCEPTED,EXACT,SPECIES,london31May2023
5115818,Lepidoptera,Erebidae,Arctia,Arctia villica,Arctia villica,99,ACCEPTED,EXACT,SPECIES,london31May2023
8407461,Lepidoptera,Erebidae,Arctornis,Arctornis l-nigrum,Arctornis l-nigrum,99,ACCEPTED,EXACT,SPECIES,london31May2023
1810099,Lepidoptera,Erebidae,Atolmis,Atolmis rubricollis,Atolmis rubricollis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4532534,Lepidoptera,Erebidae,Panaxia,Callimorpha dominula,Callimorpha dominula,98,DOUBTFUL,EXACT,SPECIES,london31May2023
1761111,Lepidoptera,Erebidae,Callistege,Callistege mi,Callistege mi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1819145,Lepidoptera,Erebidae,Calliteara,Calliteara pudibunda,Calliteara pudibunda,99,ACCEPTED,EXACT,SPECIES,london31May2023
1788635,Lepidoptera,Erebidae,Catephia,Catephia alchymista,Catephia alchymista,99,ACCEPTED,EXACT,SPECIES,london31May2023
1797527,Lepidoptera,Erebidae,Catocala,Catocala conjuncta,Catocala coniuncta,97,ACCEPTED,FUZZY,SPECIES,london31May2023
8756768,Lepidoptera,Erebidae,Catocala,Catocala electa,Catocala electa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1797276,Lepidoptera,Erebidae,Catocala,Catocala elocata,Catocala elocata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1797479,Lepidoptera,Erebidae,Catocala,Catocala fraxini,Catocala fraxini,99,ACCEPTED,EXACT,SPECIES,london31May2023
1797258,Lepidoptera,Erebidae,Catocala,Catocala nupta,Catocala nupta,99,ACCEPTED,EXACT,SPECIES,london31May2023
1797333,Lepidoptera,Erebidae,Catocala,Catocala nymphagoga,Catocala nymphagoga,99,ACCEPTED,EXACT,SPECIES,london31May2023
