accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1733484,Lepidoptera,Lasiocampidae,Dendrolimus,Dendrolimus pini,Dendrolimus pini,99,ACCEPTED,EXACT,SPECIES,london31May2023
4525266,Lepidoptera,Lasiocampidae,Eriogaster,Eriogaster lanestris,Eriogaster lanestris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1734453,Lepidoptera,Lasiocampidae,Euthrix,Euthrix potatoria,Euthrix potatoria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1732565,Lepidoptera,Lasiocampidae,Gastropacha,Gastropacha quercifolia,Gastropacha quercifolia,99,ACCEPTED,EXACT,SPECIES,london31May2023
1734826,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa quercus,Lasiocampa quercus,99,ACCEPTED,EXACT,SPECIES,london31May2023
1734704,Lepidoptera,Lasiocampidae,Lasiocampa,Lasiocampa trifolii,Lasiocampa trifolii,99,ACCEPTED,EXACT,SPECIES,london31May2023
1732416,Lepidoptera,Lasiocampidae,Macrothylacia,Macrothylacia rubi,Macrothylacia rubi,99,ACCEPTED,EXACT,SPECIES,london31May2023
5101678,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma castrensis,Malacosoma castrensis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5101745,Lepidoptera,Lasiocampidae,Malacosoma,Malacosoma neustria,Malacosoma neustria,99,ACCEPTED,EXACT,SPECIES,london31May2023
5102287,Lepidoptera,Lasiocampidae,Odonestis,Odonestis pruni,Odonestis pruni,99,ACCEPTED,EXACT,SPECIES,london31May2023
1732662,Lepidoptera,Lasiocampidae,Phyllodesma,Phyllodesma ilicifolia,Phyllodesma ilicifolia,98,ACCEPTED,EXACT,SPECIES,london31May2023
1732063,Lepidoptera,Lasiocampidae,Poecilocampa,Poecilocampa populi,Poecilocampa populi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1732452,Lepidoptera,Lasiocampidae,Trichiura,Trichiura crataegi,Trichiura crataegi,99,ACCEPTED,EXACT,SPECIES,london31May2023
