accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
4532253,Lepidoptera,Noctuidae,Eublemma,Eublemma minutata,Eublemma minutata,99,ACCEPTED,EXACT,SPECIES,london31May2023
4532203,Lepidoptera,Noctuidae,Eublemma,Eublemma ostrina,Eublemma ostrina,99,ACCEPTED,EXACT,SPECIES,london31May2023
4532206,Lepidoptera,Noctuidae,Eublemma,Eublemma parva,Eublemma parva,98,ACCEPTED,EXACT,SPECIES,london31May2023
4532253,Lepidoptera,Noctuidae,Eublemma,Eublemma paula,Eublemma minutata,99,SYNONYM,EXACT,SPECIES,london31May2023
4532239,Lepidoptera,Noctuidae,Eublemma,Eublemma purpurina,Eublemma purpurina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1765751,Lepidoptera,Noctuidae,Tathorhynchus,Tathorhynchus exsiccata,Tathorhynchus exsiccata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1767625,Lepidoptera,Noctuidae,Abrostola,Abrostola tripartita,Abrostola tripartita,99,ACCEPTED,EXACT,SPECIES,london31May2023
1767597,Lepidoptera,Noctuidae,Abrostola,Abrostola triplasia,Abrostola triplasia,99,ACCEPTED,EXACT,SPECIES,london31May2023
5109299,Lepidoptera,Noctuidae,Acontia,Acontia aprica,Acontia aprica,99,ACCEPTED,EXACT,SPECIES,london31May2023
1763072,Lepidoptera,Noctuidae,Acontia,Acontia lucida,Acontia lucida,98,ACCEPTED,EXACT,SPECIES,london31May2023
5109455,Lepidoptera,Noctuidae,Acontia,Acontia nitidula,Acontia nitidula,99,ACCEPTED,EXACT,SPECIES,london31May2023
5772063,Lepidoptera,Noctuidae,Acontia,Acontia trabealis,Acontia trabealis,99,ACCEPTED,EXACT,SPECIES,london31May2023
8150836,Lepidoptera,Noctuidae,Acosmetia,Acosmetia caliginosa,Acosmetia caliginosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782763,Lepidoptera,Noctuidae,Acronicta,Acronicta aceris,Acronicta aceris,98,ACCEPTED,EXACT,SPECIES,london31May2023
1782726,Lepidoptera,Noctuidae,Acronicta,Acronicta alni,Acronicta alni,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782927,Lepidoptera,Noctuidae,Acronicta,Acronicta auricoma,Acronicta auricoma,99,ACCEPTED,EXACT,SPECIES,london31May2023
1783045,Lepidoptera,Noctuidae,Acronicta,Acronicta cinerea,Acronicta cinerea,99,ACCEPTED,EXACT,SPECIES,london31May2023
7825213,Lepidoptera,Noctuidae,Acronicta,Acronicta cuspis,Acronicta cuspis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1783043,Lepidoptera,Noctuidae,Acronicta,Acronicta leporina,Acronicta leporina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1783037,Lepidoptera,Noctuidae,Acronicta,Acronicta menyanthidis,Acronicta menyanthidis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1782948,Lepidoptera,Noctuidae,Acronicta,Acronicta psi,Acronicta psi,98,ACCEPTED,EXACT,SPECIES,london31May2023
1782672,Lepidoptera,Noctuidae,Acronicta,Acronicta rumicis,Acronicta rumicis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1782841,Lepidoptera,Noctuidae,Acronicta,Acronicta strigosa,Acronicta strigosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1783016,Lepidoptera,Noctuidae,Acronicta,Acronicta tridens,Acronicta tridens,98,ACCEPTED,EXACT,SPECIES,london31May2023
1787506,Lepidoptera,Noctuidae,Actebia,Actebia fennica,Actebia fennica,99,ACCEPTED,EXACT,SPECIES,london31May2023
