accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1802868,Lepidoptera,Nolidae,Pardasena,Pardasena virgulana,Pardasena virgulana,99,ACCEPTED,EXACT,SPECIES,london31May2023
1801051,Lepidoptera,Nolidae,Bena,Bena bicolorana,Bena bicolorana,98,ACCEPTED,EXACT,SPECIES,london31May2023
1803025,Lepidoptera,Nolidae,Earias,Earias biplaga,Earias biplaga,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803073,Lepidoptera,Nolidae,Earias,Earias clorana,Earias clorana,98,ACCEPTED,EXACT,SPECIES,london31May2023
1803060,Lepidoptera,Nolidae,Earias,Earias insulana,Earias insulana,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803078,Lepidoptera,Nolidae,Earias,Earias vittella,Earias vittella,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534767,Lepidoptera,Nolidae,Meganola,Meganola albula,Meganola albula,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534762,Lepidoptera,Nolidae,Meganola,Meganola strigula,Meganola strigula,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534779,Lepidoptera,Nolidae,Nola,Nola aerugula,Nola aerugula,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534788,Lepidoptera,Nolidae,Nola,Nola chlamitulalis,Nola chlamitulalis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534782,Lepidoptera,Nolidae,Nola,Nola confusalis,Nola confusalis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1801896,Lepidoptera,Nolidae,Nola,Nola cucullatella,Nola cucullatella,98,ACCEPTED,EXACT,SPECIES,london31May2023
5114311,Lepidoptera,Nolidae,Nycteola,Nycteola asiatica,Nycteola asiatica,99,ACCEPTED,EXACT,SPECIES,london31May2023
8244266,Lepidoptera,Nolidae,Nycteola,Nycteola degenerana,Nycteola degenerana,98,ACCEPTED,EXACT,SPECIES,london31May2023
5114327,Lepidoptera,Nolidae,Nycteola,Nycteola revayana,Nycteola revayana,99,ACCEPTED,EXACT,SPECIES,london31May2023
5114316,Lepidoptera,Nolidae,Nycteola,Nycteola siculana,Nycteola siculana,99,ACCEPTED,EXACT,SPECIES,london31May2023
1802280,Lepidoptera,Nolidae,Pseudoips,Pseudoips prasinana,Pseudoips prasinana,99,ACCEPTED,EXACT,SPECIES,london31May2023
