accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1825176,Lepidoptera,Notodontidae,Cerura,Cerura erminea,Cerura erminea,98,ACCEPTED,EXACT,SPECIES,london31May2023
1825156,Lepidoptera,Notodontidae,Cerura,Cerura vinula,Cerura vinula,99,ACCEPTED,EXACT,SPECIES,london31May2023
1822830,Lepidoptera,Notodontidae,Clostera,Clostera anachoreta,Clostera anachoreta,98,ACCEPTED,EXACT,SPECIES,london31May2023
1822796,Lepidoptera,Notodontidae,Clostera,Clostera curtula,Clostera curtula,98,ACCEPTED,EXACT,SPECIES,london31May2023
1822819,Lepidoptera,Notodontidae,Clostera,Clostera pigra,Clostera pigra,99,ACCEPTED,EXACT,SPECIES,london31May2023
8397564,Lepidoptera,Notodontidae,Drymonia,Drymonia dodonaea,Drymonia dodonaea,99,ACCEPTED,EXACT,SPECIES,london31May2023
5118892,Lepidoptera,Notodontidae,Drymonia,Drymonia ruficornis,Drymonia ruficornis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1822613,Lepidoptera,Notodontidae,Furcula,Furcula bicuspis,Furcula bicuspis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1822587,Lepidoptera,Notodontidae,Furcula,Furcula bifida,Furcula bifida,99,ACCEPTED,EXACT,SPECIES,london31May2023
1822610,Lepidoptera,Notodontidae,Furcula,Furcula furcula,Furcula furcula,98,ACCEPTED,EXACT,SPECIES,london31May2023
1827125,Lepidoptera,Notodontidae,Gluphisia,Gluphisia crenata,Gluphisia crenata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1823726,Lepidoptera,Notodontidae,Harpyia,Harpyia milhauseri,Harpyia milhauseri,99,ACCEPTED,EXACT,SPECIES,london31May2023
1825539,Lepidoptera,Notodontidae,Leucodonta,Leucodonta bicoloria,Leucodonta bicoloria,98,ACCEPTED,EXACT,SPECIES,london31May2023
1825077,Lepidoptera,Notodontidae,Notodonta,Notodonta dromedarius,Notodonta dromedarius,99,ACCEPTED,EXACT,SPECIES,london31May2023
1825083,Lepidoptera,Notodontidae,Notodonta,Notodonta torva,Notodonta torva,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534914,Lepidoptera,Notodontidae,Notodonta,Notodonta tritophus,Notodonta tritophus,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534909,Lepidoptera,Notodontidae,Notodonta,Notodonta ziczac,Notodonta ziczac,99,ACCEPTED,EXACT,SPECIES,london31May2023
1826022,Lepidoptera,Notodontidae,Odontosia,Odontosia carmelita,Odontosia carmelita,99,ACCEPTED,EXACT,SPECIES,london31May2023
1822346,Lepidoptera,Notodontidae,Peridea,Peridea anceps,Peridea anceps,99,ACCEPTED,EXACT,SPECIES,london31May2023
5119245,Lepidoptera,Notodontidae,Phalera,Phalera bucephala,Phalera bucephala,99,ACCEPTED,EXACT,SPECIES,london31May2023
1825971,Lepidoptera,Notodontidae,Pheosia,Pheosia gnoma,Pheosia gnoma,99,ACCEPTED,EXACT,SPECIES,london31May2023
1825983,Lepidoptera,Notodontidae,Pheosia,Pheosia tremula,Pheosia tremula,99,ACCEPTED,EXACT,SPECIES,london31May2023
1825064,Lepidoptera,Notodontidae,Pterostoma,Pterostoma palpina,Pterostoma palpina,98,ACCEPTED,EXACT,SPECIES,london31May2023
1828162,Lepidoptera,Notodontidae,Ptilodon,Ptilodon capucina,Ptilodon capucina,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534872,Lepidoptera,Notodontidae,Ptilodon,Ptilodon cucullina,Ptilodon cucullina,99,ACCEPTED,EXACT,SPECIES,london31May2023
5119143,Lepidoptera,Notodontidae,Ptilophora,Ptilophora plumigera,Ptilophora plumigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
5118996,Lepidoptera,Notodontidae,Stauropus,Stauropus fagi,Stauropus fagi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1824131,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea pityocampa,Thaumetopoea pityocampa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1824113,Lepidoptera,Notodontidae,Thaumetopoea,Thaumetopoea processionea,Thaumetopoea processionea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1823493,Lepidoptera,Notodontidae,Trichiocercus,Trichiocercus sparshalli,Trichiocercus sparshalli,99,ACCEPTED,EXACT,SPECIES,london31May2023
