accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1861510,Lepidoptera,Sphingidae,Acherontia,Acherontia atropos,Acherontia atropos,99,ACCEPTED,EXACT,SPECIES,london31May2023
5123636,Lepidoptera,Sphingidae,Agrius,Agrius cingulata,Agrius cingulata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1861644,Lepidoptera,Sphingidae,Agrius,Agrius convolvuli,Agrius convolvuli,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862401,Lepidoptera,Sphingidae,Daphnis,Daphnis nerii,Daphnis nerii,99,ACCEPTED,EXACT,SPECIES,london31May2023
1864377,Lepidoptera,Sphingidae,Deilephila,Deilephila elpenor,Deilephila elpenor,98,ACCEPTED,EXACT,SPECIES,london31May2023
1864358,Lepidoptera,Sphingidae,Deilephila,Deilephila porcellus,Deilephila porcellus,99,ACCEPTED,EXACT,SPECIES,london31May2023
1861797,Lepidoptera,Sphingidae,Hemaris,Hemaris fuciformis,Hemaris fuciformis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1861862,Lepidoptera,Sphingidae,Hemaris,Hemaris tityus,Hemaris tityus,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862293,Lepidoptera,Sphingidae,Hippotion,Hippotion celerio,Hippotion celerio,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862719,Lepidoptera,Sphingidae,Hyles,Hyles euphorbiae,Hyles euphorbiae,98,ACCEPTED,EXACT,SPECIES,london31May2023
1862837,Lepidoptera,Sphingidae,Hyles,Hyles gallii,Hyles gallii,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862774,Lepidoptera,Sphingidae,Hyles,Hyles hippophaes,Hyles hippophaes,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862841,Lepidoptera,Sphingidae,Hyles,Hyles lineata,Hyles lineata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862765,Lepidoptera,Sphingidae,Hyles,Hyles livornica,Hyles livornica,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862686,Lepidoptera,Sphingidae,Hyles,Hyles nicaea,Hyles nicaea,98,ACCEPTED,EXACT,SPECIES,london31May2023
5124007,Lepidoptera,Sphingidae,Laothoe,Laothoe populi,Laothoe populi,99,ACCEPTED,EXACT,SPECIES,london31May2023
1864652,Lepidoptera,Sphingidae,Macroglossum,Macroglossum stellatarum,Macroglossum stellatarum,98,ACCEPTED,EXACT,SPECIES,london31May2023
1864008,Lepidoptera,Sphingidae,Manduca,Manduca quinquemaculatus,Manduca quinquemaculatus,99,ACCEPTED,EXACT,SPECIES,london31May2023
1864021,Lepidoptera,Sphingidae,Manduca,Manduca rustica,Manduca rustica,98,ACCEPTED,EXACT,SPECIES,london31May2023
1863978,Lepidoptera,Sphingidae,Manduca,Manduca sexta,Manduca sexta,99,ACCEPTED,EXACT,SPECIES,london31May2023
5123922,Lepidoptera,Sphingidae,Mimas,Mimas tiliae,Mimas tiliae,99,ACCEPTED,EXACT,SPECIES,london31May2023
5124071,Lepidoptera,Sphingidae,Nephele,Nephele accentifera,Nephele accentifera,99,ACCEPTED,EXACT,SPECIES,london31May2023
1864161,Lepidoptera,Sphingidae,Proserpinus,Proserpinus proserpina,Proserpinus proserpina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1862580,Lepidoptera,Sphingidae,Smerinthus,Smerinthus ocellata,Smerinthus ocellata,98,ACCEPTED,EXACT,SPECIES,london31May2023
5124208,Lepidoptera,Sphingidae,Sphinx,Sphinx drupiferarum,Sphinx drupiferarum,99,ACCEPTED,EXACT,SPECIES,london31May2023
5124143,Lepidoptera,Sphingidae,Sphinx,Sphinx ligustri,Sphinx ligustri,99,ACCEPTED,EXACT,SPECIES,london31May2023
5124233,Lepidoptera,Sphingidae,Sphinx,Sphinx pinastri,Sphinx pinastri,99,ACCEPTED,EXACT,SPECIES,london31May2023
