accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
8403618,Lepidoptera,Zygaenidae,Adscita,Adscita geryon,Adscita geryon,98,ACCEPTED,EXACT,SPECIES,london31May2023
4522753,Lepidoptera,Zygaenidae,Adscita,Adscita statices,Adscita statices,99,ACCEPTED,EXACT,SPECIES,london31May2023
5768179,Lepidoptera,Zygaenidae,Jordanita,Jordanita globulariae,Jordanita globulariae,99,ACCEPTED,EXACT,SPECIES,london31May2023
5105642,Lepidoptera,Zygaenidae,Sinica,Pryeria sinica,Sinica sinica,99,SYNONYM,EXACT,SPECIES,london31May2023
7955974,Lepidoptera,Zygaenidae,Zygaena,Zygaena exulans,Zygaena exulans,99,ACCEPTED,EXACT,SPECIES,london31May2023
5107219,Lepidoptera,Zygaenidae,Zygaena,Zygaena filipendulae,Zygaena filipendulae,99,ACCEPTED,EXACT,SPECIES,london31May2023
8426357,Lepidoptera,Zygaenidae,Zygaena,Zygaena lonicerae,Zygaena lonicerae,99,ACCEPTED,EXACT,SPECIES,london31May2023
7674502,Lepidoptera,Zygaenidae,Zygaena,Zygaena loti,Zygaena loti,99,ACCEPTED,EXACT,SPECIES,london31May2023
7410701,Lepidoptera,Zygaenidae,Zygaena,Zygaena purpuralis,Zygaena purpuralis,98,ACCEPTED,EXACT,SPECIES,london31May2023
7761138,Lepidoptera,Zygaenidae,Zygaena,Zygaena trifolii,Zygaena trifolii,99,ACCEPTED,EXACT,SPECIES,london31May2023
5107644,Lepidoptera,Zygaenidae,Zygaena,Zygaena viciae,Zygaena viciae,98,ACCEPTED,EXACT,SPECIES,london31May2023
