accepted_taxon_key,family_name,genus_name,search_species_name,gbif_species_name,image_count
5101394,Cossidae,Cossus,Cossus cossus,Cossus cossus,1000
1731598,Cossidae,Phragmataecia,Phragmataecia castaneae,Phragmataecia castaneae,921
1730978,Cossidae,Zeuzera,Zeuzera pyrina,Zeuzera pyrina,1000
1952229,Drepanidae,Achlya,Achlya flavicornis,Achlya flavicornis,1000
1951557,Drepanidae,Cilix,Cilix glaucata,Cilix glaucata,1000
1952130,Drepanidae,Cymatophorina,Cymatophorina diluta,Cymatophorina diluta,928
5143147,Drepanidae,Drepana,Drepana curvatula,Drepana curvatula,1000
5143129,Drepanidae,Drepana,Drepana falcataria,Drepana falcataria,1000
1952014,Drepanidae,Falcaria,Falcaria lacertinaria,Falcaria lacertinaria,1000
1952062,Drepanidae,Habrosyne,Habrosyne pyritoides,Habrosyne pyritoides,1000
1952532,Drepanidae,Ochropacha,Ochropacha duplaris,Ochropacha duplaris,1000
1951713,Drepanidae,Polyploca,Polyploca ridens,Polyploca ridens,1000
1952449,Drepanidae,Sabra,Sabra harpagula,Sabra harpagula,672
5143048,Drepanidae,Tethea,Tethea ocularis,Tethea ocularis,1000
5142971,Drepanidae,Tethea,Tethea or,Tethea or,1000
1951649,Drepanidae,Tetheella,Tetheella fluctuosa,Tetheella fluctuosa,1000
5142870,Drepanidae,Thyatira,Thyatira batis,Thyatira batis,1000
1952806,Drepanidae,Watsonalla,Watsonalla binaria,Watsonalla binaria,1000
1952812,Drepanidae,Watsonalla,Watsonalla cultraria,Watsonalla cultraria,1000
1861395,Endromidae,Endromis,Endromis versicolora,Endromis versicolora,1000
1808450,Erebidae,Amata,Amata phegea,Amata phegea,1000
1785105,Erebidae,Anomis,Anomis sabulifera,Anomis sabulifera,102
1803273,Erebidae,Antichloris,Antichloris caca,Antichloris caca,0
1803266,Erebidae,Antichloris,Antichloris eriphia,Antichloris eriphia,41
1803261,Erebidae,Antichloris,Antichloris viridis,Antichloris viridis,10
5115874,Erebidae,Arctia,Arctia caja,Arctia caja,1000
5115818,Erebidae,Arctia,Arctia villica,Arctia villica,1000
8407461,Erebidae,Arctornis,Arctornis l-nigrum,Arctornis l-nigrum,1000
1810099,Erebidae,Atolmis,Atolmis rubricollis,Atolmis rubricollis,1000
4532534,Erebidae,Panaxia,Callimorpha dominula,Callimorpha dominula,1000
1761111,Erebidae,Callistege,Callistege mi,Callistege mi,1000
1819145,Erebidae,Calliteara,Calliteara pudibunda,Calliteara pudibunda,1000
1788635,Erebidae,Catephia,Catephia alchymista,Catephia alchymista,333
1797527,Erebidae,Catocala,Catocala conjuncta,Catocala coniuncta,368
8756768,Erebidae,Catocala,Catocala electa,Catocala electa,266
1797276,Erebidae,Catocala,Catocala elocata,Catocala elocata,721
1797479,Erebidae,Catocala,Catocala fraxini,Catocala fraxini,1000
1797258,Erebidae,Catocala,Catocala nupta,Catocala nupta,1000
1797333,Erebidae,Catocala,Catocala nymphagoga,Catocala nymphagoga,536
1797178,Erebidae,Catocala,Catocala promissa,Catocala promissa,1000
1797367,Erebidae,Catocala,Catocala sponsa,Catocala sponsa,1000
8193562,Erebidae,Clytie,Clytie illunaris,Clytie illunaris,163
1764531,Erebidae,Colobochyla,Colobochyla salicalis,Colobochyla salicalis,1000
5117189,Erebidae,Coscinia,Coscinia cribraria,Coscinia cribraria,1000
5117200,Erebidae,Coscinia,Coscinia striata,Coscinia striata,213
1804906,Erebidae,Cybosia,Cybosia mesomella,Cybosia mesomella,1000
4532544,Erebidae,Spilosoma,Diacrisia sannio,Diacrisia sannio,1000
6097214,Erebidae,Spilosoma,Diaphora mendica,Diaphora mendica,1000
4532297,Erebidae,Calliteara,Dicallomera fascelina,Dicallomera fascelina,1000
1814630,Erebidae,Dysauxes,Dysauxes ancilla,Dysauxes ancilla,375
1798504,Erebidae,Dysgonia,Dysgonia algira,Dysgonia algira,1000
8041200,Erebidae,Eilema,Eilema caniola,Eilema caniola,1000
5116609,Erebidae,Eilema,Eilema complana,Eilema complana,1000
5116850,Erebidae,Eilema,Eilema depressa,Eilema depressa,1000
5116941,Erebidae,Eilema,Eilema griseola,Eilema griseola,1000
7730078,Erebidae,Eilema,Eilema lurideola,Eilema lurideola,1000
5116669,Erebidae,Eilema,Eilema pygmaeola,Eilema pygmaeola,336
5117089,Erebidae,Eilema,Eilema sororcula,Eilema sororcula,1000
4532253,Noctuidae,Eublemma,Eublemma minutata,Eublemma minutata,102
4532203,Noctuidae,Eublemma,Eublemma ostrina,Eublemma ostrina,349
4532206,Noctuidae,Eublemma,Eublemma parva,Eublemma parva,306
4532239,Noctuidae,Eublemma,Eublemma purpurina,Eublemma purpurina,688
5117791,Erebidae,Euchromia,Euchromia lethe,Euchromia lethe,74
1798408,Erebidae,Euclidia,Euclidia glyphica,Euclidia glyphica,1000
4532532,Erebidae,Panaxia,Euplagia quadripunctaria,Euplagia quadripunctaria,1000
