accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
-1,Lepidoptera,Noctuidae,Agrotis,Agrotis spinifera,NotAvail,98,ACCEPTED,HIGHERRANK,GENUS,london31May2023
1770880,Lepidoptera,Noctuidae,Agrotis,Agrotis vestigialis,Agrotis vestigialis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1787610,Lepidoptera,Noctuidae,Hadena,Hadena perplexa,Hadena perplexa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789086,Lepidoptera,Noctuidae,Hecatera,Hecatera bicolorata,Hecatera bicolorata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1789076,Lepidoptera,Noctuidae,Hecatera,Hecatera dysodea,Hecatera dysodea,99,ACCEPTED,EXACT,SPECIES,london31May2023
8108800,Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa armigera,Helicoverpa armigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534676,Lepidoptera,Noctuidae,Heliothis,Heliothis maritima,Heliothis maritima,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534675,Lepidoptera,Noctuidae,Heliothis,Heliothis nubigera,Heliothis nubigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534681,Lepidoptera,Noctuidae,Heliothis,Heliothis peltigera,Heliothis peltigera,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534686,Lepidoptera,Noctuidae,Heliothis,Heliothis viriplaca,Heliothis viriplaca,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534389,Lepidoptera,Noctuidae,Helotropha,Helotropha leucostigma,Helotropha leucostigma,99,ACCEPTED,EXACT,SPECIES,london31May2023
1784853,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina ambigua,Hoplodrina ambigua,98,ACCEPTED,EXACT,SPECIES,london31May2023
1784826,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina blanda,Hoplodrina blanda,98,ACCEPTED,EXACT,SPECIES,london31May2023
4534290,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina octogenaria,Hoplodrina octogenaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1784824,Lepidoptera,Noctuidae,Hoplodrina,Hoplodrina superstes,Hoplodrina superstes,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796678,Lepidoptera,Noctuidae,Hydraecia,Hydraecia micacea,Hydraecia micacea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796643,Lepidoptera,Noctuidae,Hydraecia,Hydraecia osseola,Hydraecia osseola,99,ACCEPTED,EXACT,SPECIES,london31May2023
1796666,Lepidoptera,Noctuidae,Hydraecia,Hydraecia petasitis,Hydraecia petasitis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1798372,Lepidoptera,Noctuidae,Hyppa,Hyppa rectilinea,Hyppa rectilinea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782615,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha retusa,Ipimorpha retusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1782627,Lepidoptera,Noctuidae,Ipimorpha,Ipimorpha subtusa,Ipimorpha subtusa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1792645,Lepidoptera,Noctuidae,Jodia,Jodia croceago,Jodia croceago,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533947,Lepidoptera,Noctuidae,Lacanobia,Lacanobia blenna,Lacanobia blenna,99,ACCEPTED,EXACT,SPECIES,london31May2023
1759055,Lepidoptera,Noctuidae,Lacanobia,Lacanobia contigua,Lacanobia contigua,99,ACCEPTED,EXACT,SPECIES,london31May2023
1759083,Lepidoptera,Noctuidae,Lacanobia,Lacanobia oleracea,Lacanobia oleracea,99,ACCEPTED,EXACT,SPECIES,london31May2023
7972792,Lepidoptera,Noctuidae,Lacanobia,Lacanobia splendens,Lacanobia splendens,99,ACCEPTED,EXACT,SPECIES,london31May2023
4533952,Lepidoptera,Noctuidae,Lacanobia,Lacanobia suasa,Lacanobia suasa,99,ACCEPTED,EXACT,SPECIES,london31May2023
1759069,Lepidoptera,Noctuidae,Lacanobia,Lacanobia thalassina,Lacanobia thalassina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1759079,Lepidoptera,Noctuidae,Lacanobia,Lacanobia w-latinum,Lacanobia w-latinum,98,ACCEPTED,EXACT,SPECIES,london31May2023
1799900,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia laudabilis,Lacinipolia laudabilis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1799870,Lepidoptera,Noctuidae,Lacinipolia,Lacinipolia renigera,Lacinipolia renigera,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534533,Lepidoptera,Noctuidae,Lateroligia,Lateroligia ophiogramma,Lateroligia ophiogramma,99,ACCEPTED,EXACT,SPECIES,london31May2023
4534458,Lepidoptera,Noctuidae,Lenisa,Lenisa geminipuncta,Lenisa geminipuncta,99,ACCEPTED,EXACT,SPECIES,london31May2023
10312073,Lepidoptera,Noctuidae,Agrochola,Leptologia lota,Leptologia lota,98,DOUBTFUL,EXACT,SPECIES,london31May2023
10068024,Lepidoptera,Noctuidae,Agrochola,Leptologia macilenta,Leptologia macilenta,98,DOUBTFUL,EXACT,SPECIES,london31May2023
