Phylum,Class,Order,Family,Subfamily,Scientific Name,Common Name,Authority
Arthropoda,Insecta,Lepidoptera,Adelidae,Adelinae,Nemophora aurisparsella,,
Arthropoda,Insecta,Lepidoptera,Adelidae,Adelinae,Nemophora decisella,,"Walker, 1863"
Arthropoda,Insecta,Lepidoptera,Attevidae,,Atteva fabriciella,White-spotted Tube Moth,
Arthropoda,Insecta,Lepidoptera,Attevidae,,Atteva wallengreni,,
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombycinae,Gunda subnotata,-,"Walker,1859"
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombycinae,Ocinara albicollis,,
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombycinae,Penicillifera apicalis,,
Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombycinae,Trilocha varians,,"Walker, 1865"
Arthropoda,Insecta,Lepidoptera,Brachodidae,,Nigilgia anactis,,
Arthropoda,Insecta,Lepidoptera,Brachodidae,,Synechodes rotanicola,,
Arthropoda,Insecta,Lepidoptera,Callidulidae,Callidulinae,Tetragonus catamitus,Common Butterfly Moth,"Geyer,1832"
Arthropoda,Insecta,Lepidoptera,Callidulidae,,Tetragonus lycaenoides,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis amethystodes,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis argoxantha,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis basalis,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis emplecta,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis ophiosema,-,"Lower, 1896"
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis orthogona,-,"Meyrick, 1886"
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis periploca,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis sexfasciella,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis tigroides,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Choreutis xanthogramma,,
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Saptha beryllitis,-,"Meyrick,1910"
Arthropoda,Insecta,Lepidoptera,Choreutidae,Choreutinae,Saptha exanthista,-,"Meyrick,1910"
