accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
1731598,Lepidoptera,Cossidae,Phragmataecia,Phragmataecia castaneae,Phragmataecia castaneae,99,ACCEPTED,EXACT,SPECIES,london31May2023,921.0
1952130,Lepidoptera,Drepanidae,Cymatophorina,Cymatophorina diluta,Cymatophorina diluta,98,ACCEPTED,EXACT,SPECIES,london31May2023,928.0
1952532,Lepidoptera,Drepanidae,Ochropacha,Ochropacha duplaris,Ochropacha duplaris,99,ACCEPTED,EXACT,SPECIES,london31May2023,939.0
1951713,Lepidoptera,Drepanidae,Polyploca,Polyploca ridens,Polyploca ridens,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952449,Lepidoptera,Drepanidae,Sabra,Sabra harpagula,Sabra harpagula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5143048,Lepidoptera,Drepanidae,Tethea,Tethea ocularis,Tethea ocularis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5142971,Lepidoptera,Drepanidae,Tethea,Tethea or,Tethea or,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1951649,Lepidoptera,Drepanidae,Tetheella,Tetheella fluctuosa,Tetheella fluctuosa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5142870,Lepidoptera,Drepanidae,Thyatira,Thyatira batis,Thyatira batis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952806,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria,Watsonalla binaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952812,Lepidoptera,Drepanidae,Watsonalla,Watsonalla cultraria,Watsonalla cultraria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1785105,Lepidoptera,Erebidae,Anomis,Anomis sabulifera,Anomis sabulifera,99,ACCEPTED,EXACT,SPECIES,london31May2023,102.0
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1803266,Lepidoptera,Erebidae,Antichloris,Antichloris eriphia,Antichloris eriphia,98,ACCEPTED,EXACT,SPECIES,london31May2023,41.0
1803261,Lepidoptera,Erebidae,Antichloris,Antichloris viridis,Antichloris viridis,98,ACCEPTED,EXACT,SPECIES,london31May2023,10.0
1788635,Lepidoptera,Erebidae,Catephia,Catephia alchymista,Catephia alchymista,99,ACCEPTED,EXACT,SPECIES,london31May2023,333.0
1797527,Lepidoptera,Erebidae,Catocala,Catocala conjuncta,Catocala coniuncta,97,ACCEPTED,FUZZY,SPECIES,london31May2023,368.0
8756768,Lepidoptera,Erebidae,Catocala,Catocala electa,Catocala electa,99,ACCEPTED,EXACT,SPECIES,london31May2023,266.0
1797276,Lepidoptera,Erebidae,Catocala,Catocala elocata,Catocala elocata,99,ACCEPTED,EXACT,SPECIES,london31May2023,721.0
1797333,Lepidoptera,Erebidae,Catocala,Catocala nymphagoga,Catocala nymphagoga,99,ACCEPTED,EXACT,SPECIES,london31May2023,536.0
