accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source,image_count
1951713,Lepidoptera,Drepanidae,Polyploca,Polyploca ridens,Polyploca ridens,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952449,Lepidoptera,Drepanidae,Sabra,Sabra harpagula,Sabra harpagula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5143048,Lepidoptera,Drepanidae,Tethea,Tethea ocularis,Tethea ocularis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5142971,Lepidoptera,Drepanidae,Tethea,Tethea or,Tethea or,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1951649,Lepidoptera,Drepanidae,Tetheella,Tetheella fluctuosa,Tetheella fluctuosa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5142870,Lepidoptera,Drepanidae,Thyatira,Thyatira batis,Thyatira batis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952806,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria,Watsonalla binaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1952812,Lepidoptera,Drepanidae,Watsonalla,Watsonalla cultraria,Watsonalla cultraria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
11125040,Lepidoptera,Erebidae,Halysidota,Halysidota moeschleri,Halysidota moeschleri,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113078,Lepidoptera,Erebidae,Herminia,Herminia grisealis,Herminia grisealis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113084,Lepidoptera,Erebidae,Herminia,Herminia tarsicrinalis,Herminia tarsicrinalis,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5113234,Lepidoptera,Erebidae,Herminia,Herminia tarsipennalis,Herminia tarsipennalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532357,Lepidoptera,Erebidae,Hypena,Hypena crassalis,Hypena crassalis,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532352,Lepidoptera,Erebidae,Hypena,Hypena lividalis,Hypena lividalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532351,Lepidoptera,Erebidae,Hypena,Hypena obesalis,Hypena obesalis,98,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1798802,Lepidoptera,Erebidae,Hypena,Hypena obsitalis,Hypena obsitalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1798807,Lepidoptera,Erebidae,Hypena,Hypena proboscidalis,Hypena proboscidalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1798594,Lepidoptera,Erebidae,Hypena,Hypena rostralis,Hypena rostralis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1799708,Lepidoptera,Erebidae,Hypenodes,Hypenodes humidalis,Hypenodes humidalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1811079,Lepidoptera,Erebidae,Hypercompe,Hypercompe scribonia,Hypercompe scribonia,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1817797,Lepidoptera,Erebidae,Hyphantria,Hyphantria cunea,Hyphantria cunea,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1816889,Lepidoptera,Erebidae,Hyphoraia,Hyphoraia testudinaria,Hyphoraia testudinaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9407200,Lepidoptera,Erebidae,Idia,Idia aemula,Idia aemula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
9627917,Lepidoptera,Erebidae,Idia,Idia lubricalis,Idia lubricalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
8326103,Lepidoptera,Erebidae,Laelia,Laelia coenosa,Laelia coenosa,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1769103,Lepidoptera,Erebidae,Laspeyria,Laspeyria flexula,Laspeyria flexula,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820039,Lepidoptera,Erebidae,Leucoma,Leucoma salicis,Leucoma salicis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5115771,Lepidoptera,Erebidae,Lithosia,Lithosia quadra,Lithosia quadra,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532412,Lepidoptera,Erebidae,Lygephila,Lygephila craccae,Lygephila craccae,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532405,Lepidoptera,Erebidae,Lygephila,Lygephila pastinum,Lygephila pastinum,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820406,Lepidoptera,Erebidae,Lymantria,Lymantria dispar,Lymantria dispar,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1820372,Lepidoptera,Erebidae,Lymantria,Lymantria monacha,Lymantria monacha,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5771982,Lepidoptera,Erebidae,Macrochilo,Macrochilo cribrumalis,Macrochilo cribrumalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1813114,Lepidoptera,Erebidae,Miltochrista,Miltochrista miniata,Miltochrista miniata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1790816,Lepidoptera,Erebidae,Minucia,Minucia lunaris,Minucia lunaris,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
5116416,Lepidoptera,Erebidae,Nudaria,Nudaria mundana,Nudaria mundana,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1788553,Lepidoptera,Erebidae,Ophiusa,Ophiusa tirhaca,Ophiusa tirhaca,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1819873,Lepidoptera,Erebidae,Orgyia,Orgyia antiqua,Orgyia antiqua,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
7657803,Lepidoptera,Erebidae,Orgyia,Orgyia recens,Orgyia recens,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532453,Lepidoptera,Erebidae,Pandesma,Pandesma robusta,Pandesma robusta,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532516,Lepidoptera,Erebidae,Paracolax,Paracolax tristalis,Paracolax tristalis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1780150,Lepidoptera,Erebidae,Parascotia,Parascotia fuliginaria,Parascotia fuliginaria,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1808752,Lepidoptera,Erebidae,Parasemia,Parasemia plantaginis,Parasemia plantaginis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
4532500,Lepidoptera,Erebidae,Pechipogo,Pechipogo plumigeralis,Pechipogo plumigeralis,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
1772793,Lepidoptera,Erebidae,Pechipogo,Pechipogo strigilata,Pechipogo strigilata,99,ACCEPTED,EXACT,SPECIES,london31May2023,0.0
