accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
1952229,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis,Achlya flavicornis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951557,Lepidoptera,Drepanidae,Cilix,Cilix glaucata,Cilix glaucata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952130,Lepidoptera,Drepanidae,Cymatophorina,Cymatophorina diluta,Cymatophorina diluta,98,ACCEPTED,EXACT,SPECIES,london31May2023
5143147,Lepidoptera,Drepanidae,Drepana,Drepana curvatula,Drepana curvatula,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143129,Lepidoptera,Drepanidae,Drepana,Drepana falcataria,Drepana falcataria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952014,Lepidoptera,Drepanidae,Falcaria,Falcaria lacertinaria,Falcaria lacertinaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952062,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,Habrosyne pyritoides,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952532,Lepidoptera,Drepanidae,Ochropacha,Ochropacha duplaris,Ochropacha duplaris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951713,Lepidoptera,Drepanidae,Polyploca,Polyploca ridens,Polyploca ridens,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952449,Lepidoptera,Drepanidae,Sabra,Sabra harpagula,Sabra harpagula,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143048,Lepidoptera,Drepanidae,Tethea,Tethea ocularis,Tethea ocularis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5142971,Lepidoptera,Drepanidae,Tethea,Tethea or,Tethea or,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951649,Lepidoptera,Drepanidae,Tetheella,Tetheella fluctuosa,Tetheella fluctuosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
5142870,Lepidoptera,Drepanidae,Thyatira,Thyatira batis,Thyatira batis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952806,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria,Watsonalla binaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952812,Lepidoptera,Drepanidae,Watsonalla,Watsonalla cultraria,Watsonalla cultraria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940838,Lepidoptera,Sesiidae,Bembecia,Bembecia ichneumoniformis,Bembecia ichneumoniformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1939879,Lepidoptera,Sesiidae,Paranthrene,Paranthrene tabaniformis,Paranthrene tabaniformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940807,Lepidoptera,Sesiidae,Pennisetia,Pennisetia hylaeiformis,Pennisetia hylaeiformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940158,Lepidoptera,Sesiidae,Pyropteron,Pyropteron chrysidiformis,Pyropteron chrysidiformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
7628988,Lepidoptera,Sesiidae,Synansphecia,Pyropteron muscaeformis,Synansphecia muscaeformis,99,SYNONYM,EXACT,SPECIES,london31May2023
5141493,Lepidoptera,Sesiidae,Sesia,Sesia apiformis,Sesia apiformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5141501,Lepidoptera,Sesiidae,Sesia,Sesia bembeciformis,Sesia bembeciformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940717,Lepidoptera,Sesiidae,Synanthedon,Synanthedon andrenaeformis,Synanthedon andrenaeformis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1940744,Lepidoptera,Sesiidae,Synanthedon,Synanthedon culiciformis,Synanthedon culiciformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940598,Lepidoptera,Sesiidae,Synanthedon,Synanthedon flaviventris,Synanthedon flaviventris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940510,Lepidoptera,Sesiidae,Synanthedon,Synanthedon formicaeformis,Synanthedon formicaeformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
4525777,Lepidoptera,Sesiidae,Synanthedon,Synanthedon myopaeformis,Synanthedon myopaeformis,98,ACCEPTED,EXACT,SPECIES,london31May2023
1940639,Lepidoptera,Sesiidae,Synanthedon,Synanthedon scoliaeformis,Synanthedon scoliaeformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940768,Lepidoptera,Sesiidae,Synanthedon,Synanthedon spheciformis,Synanthedon spheciformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940575,Lepidoptera,Sesiidae,Synanthedon,Synanthedon tipuliformis,Synanthedon tipuliformis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1940644,Lepidoptera,Sesiidae,Synanthedon,Synanthedon vespiformis,Synanthedon vespiformis,98,ACCEPTED,EXACT,SPECIES,london31May2023
