accepted_taxon_key,order_name,family_name,genus_name,search_species_name,gbif_species_name,confidence,status,match_type,rank,source
5101394,Lepidoptera,Cossidae,Cossus,Cossus cossus,Cossus cossus,98,ACCEPTED,EXACT,SPECIES,london31May2023
1731598,Lepidoptera,Cossidae,Phragmataecia,Phragmataecia castaneae,Phragmataecia castaneae,99,ACCEPTED,EXACT,SPECIES,london31May2023
1730978,Lepidoptera,Cossidae,Zeuzera,Zeuzera pyrina,Zeuzera pyrina,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952229,Lepidoptera,Drepanidae,Achlya,Achlya flavicornis,Achlya flavicornis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951557,Lepidoptera,Drepanidae,Cilix,Cilix glaucata,Cilix glaucata,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952130,Lepidoptera,Drepanidae,Cymatophorina,Cymatophorina diluta,Cymatophorina diluta,98,ACCEPTED,EXACT,SPECIES,london31May2023
5143147,Lepidoptera,Drepanidae,Drepana,Drepana curvatula,Drepana curvatula,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143129,Lepidoptera,Drepanidae,Drepana,Drepana falcataria,Drepana falcataria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952014,Lepidoptera,Drepanidae,Falcaria,Falcaria lacertinaria,Falcaria lacertinaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952062,Lepidoptera,Drepanidae,Habrosyne,Habrosyne pyritoides,Habrosyne pyritoides,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952532,Lepidoptera,Drepanidae,Ochropacha,Ochropacha duplaris,Ochropacha duplaris,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951713,Lepidoptera,Drepanidae,Polyploca,Polyploca ridens,Polyploca ridens,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952449,Lepidoptera,Drepanidae,Sabra,Sabra harpagula,Sabra harpagula,99,ACCEPTED,EXACT,SPECIES,london31May2023
5143048,Lepidoptera,Drepanidae,Tethea,Tethea ocularis,Tethea ocularis,99,ACCEPTED,EXACT,SPECIES,london31May2023
5142971,Lepidoptera,Drepanidae,Tethea,Tethea or,Tethea or,99,ACCEPTED,EXACT,SPECIES,london31May2023
1951649,Lepidoptera,Drepanidae,Tetheella,Tetheella fluctuosa,Tetheella fluctuosa,99,ACCEPTED,EXACT,SPECIES,london31May2023
5142870,Lepidoptera,Drepanidae,Thyatira,Thyatira batis,Thyatira batis,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952806,Lepidoptera,Drepanidae,Watsonalla,Watsonalla binaria,Watsonalla binaria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1952812,Lepidoptera,Drepanidae,Watsonalla,Watsonalla cultraria,Watsonalla cultraria,99,ACCEPTED,EXACT,SPECIES,london31May2023
1861395,Lepidoptera,Endromidae,Endromis,Endromis versicolora,Endromis versicolora,99,ACCEPTED,EXACT,SPECIES,london31May2023
1808450,Lepidoptera,Erebidae,Amata,Amata phegea,Amata phegea,99,ACCEPTED,EXACT,SPECIES,london31May2023
1785105,Lepidoptera,Erebidae,Anomis,Anomis sabulifera,Anomis sabulifera,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803273,Lepidoptera,Erebidae,Antichloris,Antichloris caca,Antichloris caca,99,ACCEPTED,EXACT,SPECIES,london31May2023
1803266,Lepidoptera,Erebidae,Antichloris,Antichloris eriphia,Antichloris eriphia,98,ACCEPTED,EXACT,SPECIES,london31May2023
1803261,Lepidoptera,Erebidae,Antichloris,Antichloris viridis,Antichloris viridis,98,ACCEPTED,EXACT,SPECIES,london31May2023
5115874,Lepidoptera,Erebidae,Arctia,Arctia caja,Arctia caja,99,ACCEPTED,EXACT,SPECIES,london31May2023
5115818,Lepidoptera,Erebidae,Arctia,Arctia villica,Arctia villica,99,ACCEPTED,EXACT,SPECIES,london31May2023
