"family_taxon","taxon","preferred_authority","common_name","name_tvk","rtvk","organism_key"
"Cossidae","Cossus cossus","(Linnaeus, 1758)","Goat Moth","NBNSYS0000005662","NBNSYS0000005662","NBNORG0000009013"
"Cossidae","Phragmataecia castaneae","(Hübner, 1790)","Reed Leopard","NHMSYS0000503737","NHMSYS0000503737","NBNORG0000058754"
"Cossidae","Zeuzera pyrina","(Linnaeus, 1761)","Leopard Moth","NBNSYS0000005661","NBNSYS0000005661","NBNORG0000009012"
"Drepanidae","Achlya flavicornis","(Linnaeus, 1758)","Yellow Horned","NBNSYS0000005732","NBNSYS0000005732","NBNORG0000009060"
"Drepanidae","Cilix glaucata","(Scopoli, 1763)","Chinese Character","NBNSYS0000005723","NBNSYS0000005723","NBNORG0000009054"
"Drepanidae","Cymatophorina diluta","([Denis & Schiffermüller], 1775)","Oak Lutestring","NHMSYS0021164634","NHMSYS0021164634","NBNORG0000062448"
"Drepanidae","Drepana curvatula","(Borkhausen, 1790)","Dusky Hook-tip","NBNSYS0000005721","NBNSYS0000005721","NBNORG0000009052"
"Drepanidae","Drepana falcataria","(Linnaeus, 1758)","Pebble Hook-tip","NBNSYS0000005720","NBNSYS0000005720","NBNORG0000009051"
"Drepanidae","Falcaria lacertinaria","(Linnaeus, 1758)","Scalloped Hook-tip","NBNSYS0000005717","NBNSYS0000005717","NBNORG0000009050"
"Drepanidae","Habrosyne pyritoides","(Hufnagel, 1766)","Buff Arches","NBNSYS0000005725","NBNSYS0000005725","NBNORG0000009056"
"Drepanidae","Ochropacha duplaris","(Linnaeus, 1761)","Common Lutestring","NBNSYS0000005730","NBNSYS0000005730","NBNORG0000009058"
"Drepanidae","Polyploca ridens","(Fabricius, 1787)","Frosted Green","NBNSYS0000005733","NBNSYS0000005733","NBNORG0000009061"
"Drepanidae","Sabra harpagula","(Esper, 1786)","Scarce Hook-tip","NBNSYS0000005722","NBNSYS0000005722","NBNORG0000009053"
"Drepanidae","Tethea ocularis","(Linnaeus, 1767)","Figure of Eighty","NHMSYS0000521103","NHMSYS0000521103","NBNORG0000060038"
"Drepanidae","Tethea or","([Denis & Schiffermüller], 1775)","Poplar Lutestring","NHMSYS0000521108","NHMSYS0000521108","NBNORG0000060039"
"Drepanidae","Tetheella fluctuosa","(Hübner, [1803])","Satin Lutestring","NHMSYS0021143797","NHMSYS0021143797","NBNORG0000059125"
"Drepanidae","Thyatira batis","(Linnaeus, 1758)","Peach Blossom","NBNSYS0000005724","NBNSYS0000005724","NBNORG0000009055"
"Drepanidae","Watsonalla binaria","(Hufnagel, 1767)","Oak Hook-tip","NBNSYS0100005987","NBNSYS0100005987","NBNORG0000043589"
"Drepanidae","Watsonalla cultraria","(Fabricius, 1775)","Barred Hook-tip","NBNSYS0100005988","NBNSYS0100005988","NBNORG0000043590"
