filename,family,genus,species
3905890887.jpg,Cossidae,Cossus,Cossus cossus
3904642653.jpg,Cossidae,Cossus,Cossus cossus
3856550464.jpg,Cossidae,Cossus,Cossus cossus
3858815195.jpg,Cossidae,Cossus,Cossus cossus
3906567321.jpg,Cossidae,Cossus,Cossus cossus
3905561560.jpg,Cossidae,Cossus,Cossus cossus
3905777342.jpg,Cossidae,Cossus,Cossus cossus
3905507294.jpg,Cossidae,Cossus,Cossus cossus
3906663931.jpg,Cossidae,Cossus,Cossus cossus
3904457543.jpg,Cossidae,Cossus,Cossus cossus
3904686079.jpg,Cossidae,Cossus,Cossus cossus
3906316908.jpg,Cossidae,Cossus,Cossus cossus
3907274240.jpg,Cossidae,Cossus,Cossus cossus
3905337568.jpg,Cossidae,Cossus,Cossus cossus
3906453763.jpg,Cossidae,Cossus,Cossus cossus
3904279546.jpg,Cossidae,Cossus,Cossus cossus
3904670153.jpg,Cossidae,Cossus,Cossus cossus
3997077306.jpg,Cossidae,Cossus,Cossus cossus
3905137800.jpg,Cossidae,Cossus,Cossus cossus
3824547875.jpg,Cossidae,Cossus,Cossus cossus
3905271029.jpg,Cossidae,Cossus,Cossus cossus
3905898613.jpg,Cossidae,Cossus,Cossus cossus
3907028023.jpg,Cossidae,Cossus,Cossus cossus
3906779017.jpg,Cossidae,Cossus,Cossus cossus
3857261359.jpg,Cossidae,Cossus,Cossus cossus
3997220136.jpg,Cossidae,Cossus,Cossus cossus
3905032970.jpg,Cossidae,Cossus,Cossus cossus
3822926451.jpg,Cossidae,Cossus,Cossus cossus
3904217572.jpg,Cossidae,Cossus,Cossus cossus
3947325632.jpg,Cossidae,Cossus,Cossus cossus
3907073705.jpg,Cossidae,Cossus,Cossus cossus
3907180887.jpg,Cossidae,Cossus,Cossus cossus
3906486860.jpg,Cossidae,Cossus,Cossus cossus
3904630894.jpg,Cossidae,Cossus,Cossus cossus
3904876749.jpg,Cossidae,Cossus,Cossus cossus
3905573783.jpg,Cossidae,Cossus,Cossus cossus
3906135964.jpg,Cossidae,Cossus,Cossus cossus
3995727639.jpg,Cossidae,Cossus,Cossus cossus
3827376899.jpg,Cossidae,Cossus,Cossus cossus
3905056949.jpg,Cossidae,Cossus,Cossus cossus
3904249887.jpg,Cossidae,Cossus,Cossus cossus
3905335691.jpg,Cossidae,Cossus,Cossus cossus
4076046448.jpg,Cossidae,Cossus,Cossus cossus
3905805264.jpg,Cossidae,Cossus,Cossus cossus
3904069377.jpg,Cossidae,Cossus,Cossus cossus
3905316644.jpg,Cossidae,Cossus,Cossus cossus
3905004992.jpg,Cossidae,Cossus,Cossus cossus
3997127551.jpg,Cossidae,Cossus,Cossus cossus
3905350280.jpg,Cossidae,Cossus,Cossus cossus
3906748559.jpg,Cossidae,Cossus,Cossus cossus
3826164306.jpg,Cossidae,Cossus,Cossus cossus
3784668869.jpg,Cossidae,Cossus,Cossus cossus
3904897664.jpg,Cossidae,Cossus,Cossus cossus
3905134044.jpg,Cossidae,Cossus,Cossus cossus
3905786869.jpg,Cossidae,Cossus,Cossus cossus
3904890344.jpg,Cossidae,Cossus,Cossus cossus
3905990658.jpg,Cossidae,Cossus,Cossus cossus
3906559738.jpg,Cossidae,Cossus,Cossus cossus
3904441811.jpg,Cossidae,Cossus,Cossus cossus
3923234513.jpg,Cossidae,Cossus,Cossus cossus
3904111120.jpg,Cossidae,Cossus,Cossus cossus
3905751617.jpg,Cossidae,Cossus,Cossus cossus
3904181016.jpg,Cossidae,Cossus,Cossus cossus
3904265740.jpg,Cossidae,Cossus,Cossus cossus
3907052145.jpg,Cossidae,Cossus,Cossus cossus
3827336029.jpg,Cossidae,Cossus,Cossus cossus
3827153186.jpg,Cossidae,Cossus,Cossus cossus
3903924555.jpg,Cossidae,Cossus,Cossus cossus
3995695840.jpg,Cossidae,Cossus,Cossus cossus
3904121320.jpg,Cossidae,Cossus,Cossus cossus
3906927079.jpg,Cossidae,Cossus,Cossus cossus
3904366551.jpg,Cossidae,Cossus,Cossus cossus
3858663046.jpg,Cossidae,Cossus,Cossus cossus
3904150267.jpg,Cossidae,Cossus,Cossus cossus
3905610959.jpg,Cossidae,Cossus,Cossus cossus
3996168676.jpg,Cossidae,Cossus,Cossus cossus
3904786961.jpg,Cossidae,Cossus,Cossus cossus
3904758904.jpg,Cossidae,Cossus,Cossus cossus
3906059020.jpg,Cossidae,Cossus,Cossus cossus
3905199699.jpg,Cossidae,Cossus,Cossus cossus
3904765268.jpg,Cossidae,Cossus,Cossus cossus
3904571709.jpg,Cossidae,Cossus,Cossus cossus
3906347652.jpg,Cossidae,Cossus,Cossus cossus
3905120043.jpg,Cossidae,Cossus,Cossus cossus
3823409962.jpg,Cossidae,Cossus,Cossus cossus
3905577900.jpg,Cossidae,Cossus,Cossus cossus
3907280400.jpg,Cossidae,Cossus,Cossus cossus
3857105435.jpg,Cossidae,Cossus,Cossus cossus
3906853882.jpg,Cossidae,Cossus,Cossus cossus
3905327076.jpg,Cossidae,Cossus,Cossus cossus
3905267324.jpg,Cossidae,Cossus,Cossus cossus
3904431079.jpg,Cossidae,Cossus,Cossus cossus
3905194443.jpg,Cossidae,Cossus,Cossus cossus
3904288072.jpg,Cossidae,Cossus,Cossus cossus
3827099604.jpg,Cossidae,Cossus,Cossus cossus
3907346359.jpg,Cossidae,Cossus,Cossus cossus
3907141439.jpg,Cossidae,Cossus,Cossus cossus
3905032967.jpg,Cossidae,Cossus,Cossus cossus
3906704266.jpg,Cossidae,Cossus,Cossus cossus
3824509645.jpg,Cossidae,Cossus,Cossus cossus
3907273369.jpg,Cossidae,Cossus,Cossus cossus
3906423771.jpg,Cossidae,Cossus,Cossus cossus
3905152390.jpg,Cossidae,Cossus,Cossus cossus
3906759626.jpg,Cossidae,Cossus,Cossus cossus
3906948853.jpg,Cossidae,Cossus,Cossus cossus
3904362517.jpg,Cossidae,Cossus,Cossus cossus
3825891704.jpg,Cossidae,Cossus,Cossus cossus
3904384143.jpg,Cossidae,Cossus,Cossus cossus
3904290122.jpg,Cossidae,Cossus,Cossus cossus
3824768375.jpg,Cossidae,Cossus,Cossus cossus
3858711593.jpg,Cossidae,Cossus,Cossus cossus
3905581534.jpg,Cossidae,Cossus,Cossus cossus
3856968958.jpg,Cossidae,Cossus,Cossus cossus
3904977004.jpg,Cossidae,Cossus,Cossus cossus
3857467154.jpg,Cossidae,Cossus,Cossus cossus
3907405371.jpg,Cossidae,Cossus,Cossus cossus
3905831781.jpg,Cossidae,Cossus,Cossus cossus
3824211134.jpg,Cossidae,Cossus,Cossus cossus
3906071892.jpg,Cossidae,Cossus,Cossus cossus
3904296489.jpg,Cossidae,Cossus,Cossus cossus
3905949793.jpg,Cossidae,Cossus,Cossus cossus
3906984665.jpg,Cossidae,Cossus,Cossus cossus
3906989124.jpg,Cossidae,Cossus,Cossus cossus
3903981015.jpg,Cossidae,Cossus,Cossus cossus
3907497184.jpg,Cossidae,Cossus,Cossus cossus
